"ModuleName","ProcedureName","Kind","Visibility","Signature","ReturnType","Parameters","ParameterCount","StartLine","EndLine","CodeLines","CommentLines","CallSiteCount","CallingModules","UsesCurrentDb","UsesExplicitDaoDatabase","UsesPrivateModuleVariables","HasErrorHandling","HasLogging","SideEffects"
"modOrderCalculationService","ResolveOrderVatModeForContext","Function","Private","Private Function ResolveOrderVatModeForContext(     ByVal headerId As Long,     ByVal headerTableName As String,     ByVal headerKeyField As String,     ByVal defaultValue As String) As String","String","ByVal headerId As Long; ByVal headerTableName As String; ByVal headerKeyField As String; ByVal defaultValue As String","4","462","502","28","0","5","modOrderCalculationService","False","True","","True","False",""
"modOrderCalculationService","GetRecordsetStringValue","Function","Private","Private Function GetRecordsetStringValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String","String","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal defaultValue As String","3","504","510","6","0","21","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","False","False","","False","False",""
"modOrderCalculationService","GetRecordsetCurrencyValue","Function","Private","Private Function GetRecordsetCurrencyValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Currency) As Currency","Currency","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal defaultValue As Currency","3","512","525","12","0","25","modDocumentCalculationService; modOrderCalculationService","False","False","","False","False",""
"modOrderCalculationService","GetRecordsetDoubleValue","Function","Private","Private Function GetRecordsetDoubleValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Double) As Double","Double","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal defaultValue As Double","3","527","540","12","0","15","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","False","False","","False","False",""
"modOrderCalculationService","GetRecordsetLongValue","Function","Private","Private Function GetRecordsetLongValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As Long) As Long","Long","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal defaultValue As Long","3","542","548","6","0","16","modDocumentCalculationService; modOrderCalculationService; modOrderRepository","False","False","","False","False",""
"modOrderCalculationService","SetRecordsetValue","Sub","Private","Private Sub SetRecordsetValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal fieldValue As Variant)","","ByVal rs As DAO.Recordset; ByVal fieldName As String; ByVal fieldValue As Variant","3","550","554","4","0","151","modAddressRepository; modContactRepository; modDocumentCalculationService; modDocumentRepository; modOrderCalculationService; modOrderRepository","False","False","","False","False",""
"modOrderCalculationService","RoundCurrency","Function","Private","Private Function RoundCurrency(ByVal Amount As Currency) As Currency","Currency","ByVal Amount As Currency","1","556","558","2","0","25","modDocumentCalculationService; modDocumentService; modOrderCalculationService; modVatHandler","False","False","","False","False",""
"modOrderRepository","EnsureOrderRepositoryReady","Function","Public","Public Function EnsureOrderRepositoryReady() As Boolean","Boolean","","0","99","125","18","0","12","modDemoDataSeeder; modOrderRepository","False","False","","True","True",""
"modOrderRepository","EnsureSalesOrderNumberRange","Function","Public","Public Function EnsureSalesOrderNumberRange(Optional ByVal FiscalYear As Long = 0) As Boolean","Boolean","Optional ByVal FiscalYear As Long = 0","1","127","218","73","0","11","modBasicModuleSchema; modFwSetup; modOrderRepository","False","True","","True","True","DB_MUTATION"
"modOrderRepository","GetNextSalesOrderNumber","Function","Public","Public Function GetNextSalesOrderNumber(Optional ByVal OrderDate As Date = 0) As String","String","Optional ByVal OrderDate As Date = 0","1","220","241","16","0","5","modOrderRepository","False","False","","True","False",""
