"procedure_name","target_module","target_signature","caller_module","line_number","line_text","call_style","arguments","needs_explicit_db","uses_currentdb_context"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","497","If TableExists(frontendDb, tableName) Then","unqualified-local","frontendDb, tableName","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","831","If Not TableExists(db, ""ord_order"") Then Exit Function","unqualified-local","db, ""ord_order""","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","832","If Not TableExists(db, ""ord_order_line"") Then Exit Function","unqualified-local","db, ""ord_order_line""","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","833","If Not TableExists(db, ""tmp_order"") Then Exit Function","unqualified-local","db, ""tmp_order""","True","False"
"TableExists","modBasicModuleSchema","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modBasicModuleSchema","834","If Not TableExists(db, ""tmp_order_line"") Then Exit Function","unqualified-local","db, ""tmp_order_line""","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1197","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1221","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1228","""AddField successful: "" & tableName & ""."" & fieldName & ""; exists_after_add="" & CStr(FieldExists(db, tableName, fieldName))","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1229","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1258","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1283","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1309","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1338","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1361","If FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1382","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"FieldExists","modBasicModuleSchema","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modBasicModuleSchema","1403","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"TableExists","modContactRepository","Private Function TableExists(ByVal tableName As String) As Boolean","modContactRepository","168","If Not TableExists(TABLE_ADR_CONTACT) Then","unqualified-local","TABLE_ADR_CONTACT","False","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","208","If Not TableExists(db, TBL_ART_PRODUCT_GROUP) Then","unqualified-local","db, TBL_ART_PRODUCT_GROUP","True","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","398","If Not TableExists(db, TBL_TEN_PARAMETER) Then Exit Sub","unqualified-local","db, TBL_TEN_PARAMETER","True","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","424","If Not TableExists(db, TBL_ADR_CONTACT) Then Exit Sub","unqualified-local","db, TBL_ADR_CONTACT","True","False"
"FieldExists","modDemoDataSeeder","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDemoDataSeeder","854","If Not FieldExists(db, TBL_TEN_PARAMETER, ""param_key"") Then Exit Sub","unqualified-local","db, TBL_TEN_PARAMETER, ""param_key""","True","False"
"FieldExists","modDemoDataSeeder","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDemoDataSeeder","855","If Not FieldExists(db, TBL_TEN_PARAMETER, ""param_value"") Then Exit Sub","unqualified-local","db, TBL_TEN_PARAMETER, ""param_value""","True","False"
"FieldExists","modDemoDataSeeder","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDemoDataSeeder","857","hasTenantCodeField = FieldExists(db, TBL_TEN_PARAMETER, ""tenant_code"")","unqualified-local","db, TBL_TEN_PARAMETER, ""tenant_code""","True","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","1179","If Not TableExists(db, TBL_ADR_CONTACT) Then Exit Sub","unqualified-local","db, TBL_ADR_CONTACT","True","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","1258","If Not TableExists(db, tableName) Then","unqualified-local","db, tableName","True","False"
"FieldExists","modDemoDataSeeder","Private Function FieldExists(ByVal db As DAO.Database, ByVal tableName As String, ByVal fieldName As String) As Boolean","modDemoDataSeeder","1264","If Not FieldExists(db, tableName, fieldName) Then","unqualified-local","db, tableName, fieldName","True","False"
"TableExists","modDemoDataSeeder","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDemoDataSeeder","1431","If Not TableExists(db, TBL_ART_ARTICLE) Then Exit Function","unqualified-local","db, TBL_ART_ARTICLE","True","False"
"TableExists","modDocumentCalculationService","Private Function TableExists(ByVal db As DAO.Database, ByVal tableName As String) As Boolean","modDocumentCalculationService","74","If Not TableExists(db, TABLE_DOC_DOCUMENT_POSITION) Then","unqualified-local","db, TABLE_DOC_DOCUMENT_POSITION","True","False"
