"payment_term_id","payment_term_code","canonical_code","code_status","language_code","title","terms_text","days_net","discount_days","discount_percent","is_default","is_active","sort_order","created_at","created_by","updated_at","updated_by","missing_title","missing_terms_text","missing_audit"
"9","2D10N30","CASH_DISCOUNT_10_2_NET_30","ALT_CODE","de-CH","2% Skonto in 10 Tagen, 30 Tage netto","","30","10","2.00","0","1","","","","","","False","True","True"
"3","CASH_DISCOUNT_10_2_NET_30","CASH_DISCOUNT_10_2_NET_30","CANONICAL_WITH_DUPLICATES","de-CH","10 Tage -2% Skonto, 30 Tage netto","2% Skonto bei Zahlung innert 10 Tagen, ansonsten zahlbar innert 30 Tagen netto.","30","10","2.00","0","1","30","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"5","MILESTONE_50_25_25","MILESTONE_50_25_25","CANONICAL","de-CH","50% Anzahlung, 25% bei Launch, 25% nach 30 Tagen","50% Anzahlung bei Auftragserteilung, 25% bei Launch, 25% 30 Tage nach Launch.","","","","0","1","50","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"2","NET_30","NET_30","CANONICAL_WITH_DUPLICATES","de-CH","30 Tage netto","Zahlbar innert 30 Tagen netto.","30","","","1","1","20","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"7","NET_30","NET_30","CANONICAL_WITH_DUPLICATES","en-US","Net 30 days","Payable within 30 days net.","30","","","0","1","120","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"8","NET30","NET_30","ALT_CODE","de-CH","30 Tage netto","","30","","","0","1","","","","","","False","True","True"
"1","PREPAYMENT","PREPAYMENT","CANONICAL_WITH_DUPLICATES","de-CH","Vorkasse","Zahlbar im Voraus.","","","","0","1","10","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"6","PREPAYMENT","PREPAYMENT","CANONICAL_WITH_DUPLICATES","en-US","Prepayment","Payable in advance.","","","","0","1","110","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
"4","SPLIT_50_ORDER_50_DELIVERY","SPLIT_50_ORDER_50_DELIVERY","CANONICAL","de-CH","50% bei Auftragserteilung, 50% bei Lieferung","50% zahlbar bei Auftragserteilung, 50% zahlbar bei Lieferung.","","","","0","1","40","08.05.2026 20:47:33","migration","08.05.2026 20:47:33","migration","False","False","False"
