"translation_key","old_language_code","new_language_code","old_text","new_text","classification","auto_cleanable"
"COMMON.REFRESH","DE-CH","de-CH","Aktualisieren","Aktualisieren","IDENTICAL_SELF_MATCH","True"
"COMMON.REFRESH","EN-US","en-US","Refresh","Refresh","IDENTICAL_SELF_MATCH","True"
"COMMON.SEARCH","DE-CH","de-CH","Suche","Suche","IDENTICAL_SELF_MATCH","True"
"COMMON.SEARCH","EN-US","en-US","Search","Search","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.EMAIL","DE-CH","de-CH","E-Mail","E-Mail","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.EMAIL","DE-DE","de-DE","E-Mail","E-Mail","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.EMAIL","EN-US","en-US","E-Mail","E-Mail","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.EMAIL","IT-CH","it-CH","E-mail","E-mail","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.FAX","DE-CH","de-CH","Fax","Fax","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.FAX","DE-DE","de-DE","Fax","Fax","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.FAX","EN-US","en-US","Fax","Fax","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.FAX","IT-CH","it-CH","Fax","Fax","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.MOBILE","DE-CH","de-CH","Mobil","Mobil","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.MOBILE","DE-DE","de-DE","Mobil","Mobil","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.MOBILE","EN-US","en-US","Mobile","Mobile","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.MOBILE","IT-CH","it-CH","Mobile","Mobile","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.OTHER","DE-CH","de-CH","Sonstige","Sonstige","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.OTHER","DE-DE","de-DE","Sonstige","Sonstige","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.OTHER","EN-US","en-US","Other","Other","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.OTHER","IT-CH","it-CH","Altro","Altro","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.PHONE","DE-CH","de-CH","Telefon","Telefon","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.PHONE","DE-DE","de-DE","Telefon","Telefon","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.PHONE","EN-US","en-US","Phone","Phone","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.PHONE","IT-CH","it-CH","Telefono","Telefono","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.WEBSITE","DE-CH","de-CH","Webseite","Webseite","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.WEBSITE","DE-DE","de-DE","Webseite","Webseite","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.WEBSITE","EN-US","en-US","Website","Website","IDENTICAL_SELF_MATCH","True"
"CONTACT_TYPE.WEBSITE","IT-CH","it-CH","Sito web","Sito web","IDENTICAL_SELF_MATCH","True"
"ERR_DATE","DE","de-CH","muss ein gueltiges Datum sein","muss ein gueltiges Datum sein","IDENTICAL_SELF_MATCH","True"
"ERR_DATE","DE-CH","de-CH","Gültiges Datum erwartet","Gültiges Datum erwartet","IDENTICAL_SELF_MATCH","True"
"ERR_DATE","EN","en-US","must be a valid date","must be a valid date","IDENTICAL_SELF_MATCH","True"
"ERR_DATE","EN-US","en-US","Valid date expected","Valid date expected","IDENTICAL_SELF_MATCH","True"
"ERR_INTEGER","DE","de-CH","muss eine ganze Zahl sein","muss eine ganze Zahl sein","IDENTICAL_SELF_MATCH","True"
"ERR_INTEGER","DE-CH","de-CH","Ganze Zahl erwartet","Ganze Zahl erwartet","IDENTICAL_SELF_MATCH","True"
"ERR_INTEGER","EN","en-US","must be an integer","must be an integer","IDENTICAL_SELF_MATCH","True"
"ERR_INTEGER","EN-US","en-US","Integer expected","Integer expected","IDENTICAL_SELF_MATCH","True"
"ERR_MAX","DE","de-CH","muss <= {0} sein","muss <= {0} sein","IDENTICAL_SELF_MATCH","True"
"ERR_MAX","DE-CH","de-CH","Wert zu gross","Wert zu gross","IDENTICAL_SELF_MATCH","True"
"ERR_MAX","EN","en-US","must be <= {0}","must be <= {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MAX","EN-US","en-US","Value too large","Value too large","IDENTICAL_SELF_MATCH","True"
"ERR_MAXLEN","DE","de-CH","Maximallaenge ist {0}","Maximallaenge ist {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MAXLEN","DE-CH","de-CH","Eingabe zu lang","Eingabe zu lang","IDENTICAL_SELF_MATCH","True"
"ERR_MAXLEN","EN","en-US","maximum length is {0}","maximum length is {0}","IDENTICAL_SELF_MATCH","True"
"ERR_MAXLEN","EN-US","en-US","Input is too long","Input is too long","IDENTICAL_SELF_MATCH","True"
