"family","group_id","kind","modules","definition_count","normalized_body"
"HasControl","HasControl-GROUP-001","SINGLETON","modFwTranslationEditService","1","Private Function HasControl(ByVal targetForm As Access.Form, ByVal ControlName As String) As Boolean On Error GoTo SafeExit Dim currentControl As Control If targetForm Is Nothing Then Exit Function End If For Each currentControl In targetForm.Controls If StrComp(currentControl.Name, ControlName, vbTextCompare) = 0 Then HasControl = True Exit Function End If Next currentControl SafeExit: End Function"
"HasControl","HasControl-GROUP-002","EXACT_OR_NEAR_EXACT","modAppDashboardService; modAppShell; modAppWorkspaceService","3","Private Function HasControl(ByVal formInstance As Access.Form, ByVal ControlName As String) As Boolean On Error GoTo SafeExit Dim ctl As Control If formInstance Is Nothing Then Exit Function End If For Each ctl In formInstance.Controls If StrComp(ctl.Name, ControlName, vbTextCompare) = 0 Then HasControl = True Exit Function End If Next ctl SafeExit: End Function"
"ResolveCreatedBy","ResolveCreatedBy-GROUP-001","EXACT_OR_NEAR_EXACT","modAddressRepository; modContactRepository; modDocumentRepository","3","Private Function ResolveCreatedBy() As String If IsSessionInitialized() Then ResolveCreatedBy = currentUserId Else ResolveCreatedBy = ""SYSTEM"" End If End Function"
"ResolveFieldValue","ResolveFieldValue-GROUP-001","EXACT_OR_NEAR_EXACT","modAddressRepository; modContactRepository","2","Private Function ResolveFieldValue(ByVal rs As DAO.Recordset, ByVal fieldName As String, ByVal defaultValue As String) As String If modDaoHelper.RecordsetHasField(rs, fieldName) Then ResolveFieldValue = modDaoHelper.NzString(rs.Fields(fieldName).Value, defaultValue) Else ResolveFieldValue = defaultValue End If End Function"
